country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","22-03-2026 13:00:00",25.494,81.863,SO2,40,43,41
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","22-03-2026 13:00:00",25.494,81.863,OZONE,7,34,19
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","22-03-2026 13:00:00","25.44919916 ","81.82735986 ",PM10,14,67,37
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","22-03-2026 13:00:00",28.856664,78.772638,SO2,19,31,23
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","22-03-2026 13:00:00",28.849399,78.742362,NO2,25,25,25
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","22-03-2026 13:00:00",28.849399,78.742362,SO2,105,111,108
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","22-03-2026 13:00:00",28.849399,78.742362,CO,18,34,24
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","22-03-2026 13:00:00",29.4723508,77.7194031,PM2.5,24,139,76
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","22-03-2026 13:00:00",25.3505986,82.9083074,PM2.5,25,58,45
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","22-03-2026 13:00:00",25.3505986,82.9083074,SO2,9,13,11
