State,Population at Risk
Andhra Pradesh,NA
Arunachal Pradesh,NA
Assam,1641024
Bihar,1223452
Chhattisgarh,NA
Goa,NA
Gujarat,NA
Haryana,NA
Himachal Pradesh,NA
Jammu & Kashmir,NA
Jharkhand,13336
Karnataka,2590
Kerala,NA
Madhya Pradesh,NA
Maharashtra,NA
Manipur,NA
Meghalaya,NA
Mizoram,NA
Nagaland,NA
Odisha,NA
Punjab,831854
Rajasthan,NA
Sikkim,NA
Tamil Nadu,NA
Telangana,NA
Tripura,NA
Uttar Pradesh,573767
Uttarakhand,NA
West Bengal,9958972
Total,14244995
